"FID,POINTID,Depth,POINTID_1,EC,OC,Elev,oc1,ec1,LC0_Desc,EVI250,LST250,susm,twi,TH_LAT,TH_LONG,slope250,Prec_World,Temp_Iberi,pr37040,pr37060,pr58040,pr58060,T37040,t37060,t58560,t58540"
"22,30622070,0-20 cm,30622070,0.9,99.8,1217,99.8,0.9,Grassland,0.19943704,14708.09091,50.91469955,-1.747099996,40.6071682,-4.914424643,6.617630005,40.64599991,10.6388998,39.25,38.41666667,40.33333333,38.08333333,4.5,5.550000191,5.599999905,4.599999905"
"23,30642062,0-20 cm,30642062,1.7,324.8,1258,324.8,1.7,Grassland,0.21003353,14700.82222,56.1242981,-2.546159983,40.53989958,-4.874320258,3.806119919,53.30970001,9.437350273,51.5,50.33333333,53.08333333,49.91666667,3.5,4.599999905,4.699999809,3.700000048"
"24,30662054,0-20 cm,30662054,2.6,88.8,1312,88.8,2.6,Woodland,0.220453406,14643.60465,62.49530029,-2.286689997,40.47260657,-4.834314461,4.526860237,66.56690216,8.81427002,64.16666667,62.75,66.16666667,62.33333333,3.200000048,4.300000191,4.349999905,3.349999905"
"25,30682044,0-20 cm,30682044,1.4,93.4,975,93.4,1.4,Shrubland,0.210074428,14704,50.22689819,-2.926359892,40.38757776,-4.790226257,3.864520073,31.70949936,12.32409954,30.5,30,31.5,29.66666667,6,7.050000191,7.150000095,6.150000095"
"26,30682052,0-20 cm,30682052,2.2,82,1173,82,2.2,Grassland,0.235634149,14736.64286,62.49530029,-0.469197989,40.45841997,-4.806967944,2.688570023,61.59289932,9.213190079,59.33333333,58.33333333,61.25,57.83333333,3.5,4.650000095,4.699999809,3.700000048"
"27,30221962,0-20 cm,30221962,1.1,68.3,806,68.3,1.1,Shrubland,0.215489519,14746.71739,43.95000076,-3.23548007,39.57969912,-5.147154296,2.72777009,47.58499908,13.28709984,44.75,43.66666667,46.5,43.33333333,7,8.100000381,8.149999619,7.099999905"
"28,30241966,0-20 cm,30241966,1.7,74.2,660,74.2,1.7,Grassland,0.240513007,14914,43.95000076,3.295269966,39.61871085,-5.132691842,0.502563,41.37900162,14.37819958,38.91666667,38,40.33333333,37.83333333,7.900000095,9,9.100000381,8.050000191"
"29,30261962,0-20 cm,30261962,1.2,187.2,686,187.2,1.2,Grassland,0.195991201,14918.26087,43.95000076,-1.41218996,39.58687084,-5.101494358,0.614832997,39.79499817,14.58230019,37.5,36.5,38.91666667,36.25,8.050000191,9.149999619,9.25,8.199999809"
"30,30361876,0-20 cm,30361876,1,69.5,607,69.5,1,Woodland,0.206429479,14853.95455,53.09609985,0.177573994,38.84220507,-4.811938213,1.656960011,44.41590118,15.12010002,40.66666667,39.41666667,42.5,39.08333333,8.399999619,9.550000191,9.649999619,8.550000191"
"31,30441944,0-20 cm,30441944,1.2,80.4,633,80.4,1.2,Woodland,0.175535345,14827.24444,43.01179886,-3.39447999,39.45934184,-4.858951215,3.392780066,37.94670105,14.67010021,35.33333333,34.41666667,36.66666667,34.25,8.149999619,9.300000191,9.350000381,8.300000191"
"32,28282006,0-20 cm,28282006,1.1,103.4,370,103.4,1.1,Woodland,0.252137741,14926.86957,43.07239914,-1.844220042,39.59322669,-7.45592171,2.383419991,64.01010132,16.18059921,60.33333333,59.58333333,62.5,58.83333333,10.39999962,11.5,11.55000019,10.55000019"
"33,28341858,0-20 cm,28341858,2.8,201.5,300,201.5,2.8,Woodland,0.222725652,14960,44.94340134,-2.371870041,38.30258349,-7.041890965,2.582380056,49.10020065,16.19689941,46.75,45.33333333,48,45.33333333,10.80000019,11.89999962,11.89999962,10.85000038"
"34,28361910,0-20 cm,28361910,1,177.3,250,177.3,1,Grassland,0.278223701,14915.13953,62.0481987,-2.752219915,38.76490738,-7.13877147,1.606940031,47.28490067,16.19210052,45,43.83333333,46.16666667,43.5,10.89999962,12,12.05000019,11.05000019"
"35,28381990,0-20 cm,28381990,1.9,117.3,386,117.3,1.9,Woodland,0.272027666,14906.73333,38.8362999,-2.632270098,39.47313329,-7.304031323,3.207509995,59.73239899,16.05349922,56.58333333,55.41666667,58.5,55,10.35000038,11.39999962,11.44999981,10.44999981"
"36,28541964,0-20 cm,28541964,2.1,68.4,394,68.4,2.1,Shrubland,0.236527635,15019.77273,46.59349823,4.029160023,39.27687788,-7.061361194,0.463252991,53.17409897,16.1692009,50.33333333,49,51.83333333,48.83333333,10.30000019,11.35000038,11.44999981,10.44999981"
"37,28621900,0-20 cm,28621900,0.9,242.1,303,242.1,0.9,Cropland,0.157211766,15052.48889,55.32020187,-2.214540005,38.72895988,-6.82374795,1.003409982,47.75979996,16.64450073,45.58333333,44.25,46.83333333,43.91666667,10.39999962,11.55000019,11.60000038,10.55000019"
"38,28721896,0-20 cm,28721896,1,308.6,326,308.6,1,Cropland,0.125562152,15096.44444,59.76290131,-1.281010032,38.71349386,-6.702347735,0.63073498,46.87820053,16.8390007,44.66666667,43.33333333,46.16666667,43.08333333,10.39999962,11.55000019,11.60000038,10.55000019"
"39,28802056,0-20 cm,28802056,2.1,91.5,513,91.5,2.1,Cropland,0.200276863,14880.84444,32.69680023,-2.803090096,40.13897956,-6.982095487,2.84645009,68.23600006,15.11470032,65,64.41666667,67.41666667,63.66666667,9.850000381,10.85000038,10.89999962,9.949999809"
"40,28901850,0-20 cm,28901850,1.2,87.1,573,87.1,1.2,Cropland,0.219207903,14930.93333,59.50899887,-1.10405004,38.34255565,-6.398400661,1.235550046,55.40790176,15.57750034,52.5,50.91666667,54.33333333,50.41666667,9.149999619,10.39999962,10.39999962,9.300000191"
"41,28921962,0-20 cm,28921962,0.8,48.6,435,48.6,0.8,Woodland,0.215967634,14839.53333,45.90420151,-1.682180047,39.33502044,-6.626206372,1.178130031,51.43569946,15.63869953,49,47.66666667,50.58333333,47.5,9.5,10.60000038,10.64999962,9.699999809"
"42,28922052,0-20 cm,28922052,2.1,109.4,490,109.4,2.1,Woodland,0.219889342,14874.76744,34.09619904,-2.700099945,40.12784697,-6.834987103,2.45423007,65.14060211,15.0255003,62,61.58333333,64.41666667,60.83333333,9.649999619,10.75,10.80000019,9.800000191"
