"FID,POINTID,Depth,POINTID_1,EC,OC,Elev,oc1,ec1,LC0_Desc,EVI250,LST250,susm,twi,TH_LAT,TH_LONG,slope250,Prec_World,Temp_Iberi,pr37040,pr37060,pr58040,pr58060,T37040,t37060,t58560,t58540"
"264,30961900,0-20 cm,30961900,0.9,55.7,677,55.7,0.9,Cropland,0.209999841,14891.44444,68.27149963,-1.904090047,39.15830168,-4.179495278,1.238219976,35.83869934,14.97280025,33.16666667,31.91666667,34.25,32,7.699999809,8.899999619,8.949999809,7.900000095"
"265,30961912,0-20 cm,30961912,1.1,84.6,694,84.6,1.1,Bareland,0.170190448,14847.44444,63.0326004,-0.370990992,39.26491634,-4.202800075,0.542066991,36.75080109,14.65100002,34,32.75,35.08333333,32.75,7.550000191,8.75,8.800000191,7.75"
"266,30961984,0-20 cm,30961984,0.7,148.4,613,148.4,0.7,Cropland,0.228897002,14906.15556,49.37900162,-1.963469982,39.90414613,-4.344872709,2.130880117,30.14999962,15.36839962,28.75,27.75,29.5,27.5,8.550000191,9.699999809,9.75,8.699999809"
"267,31001850,0-20 cm,31001850,2.7,202.7,755,202.7,2.7,Woodland,0.195423096,14830.93478,51.74869919,3.154619932,38.72049429,-4.038352607,1.48755002,38.36389923,14.78999996,35.25,33.91666667,36.66666667,33.83333333,7.449999809,8.649999619,8.75,7.599999905"
"268,31001904,0-20 cm,31001904,1.6,53.9,813,53.9,1.6,Cropland,0.159313478,14837.04348,63.0326004,-1.40802002,39.20055556,-4.141775625,5.897530079,36.19509888,14.81340027,33.58333333,32.25,34.66666667,32.25,7.599999905,8.800000191,8.850000381,7.800000191"
"269,31001954,0-20 cm,31001954,1.5,486.4,827,486.4,1.5,Cropland,0.218477677,14885.84091,43.75490189,-1.038259983,39.64466208,-4.239433476,0.327573001,36.38389969,14.27470016,34.08333333,33.08333333,35.16666667,33,7.25,8.399999619,8.449999809,7.400000095"
"270,31041900,0-20 cm,31041900,1.2,111.7,707,111.7,1.2,Bareland,0.188500609,14897.52174,68.27149963,2.266599894,39.17169838,-4.088581486,0.528186023,36.86869812,14.63430023,34.16666667,32.91666667,35.33333333,32.83333333,7.449999809,8.649999619,8.699999809,7.650000095"
"271,31081962,0-20 cm,31081962,0.9,71.2,783,71.2,0.9,Bareland,0.18152107,14898.63043,44.92399979,-1.539489985,39.72916986,-4.163569776,0.43948099,34.11709976,14.73519993,32.08333333,31.16666667,33.33333333,31.08333333,7.650000095,8.800000191,8.899999619,7.849999905"
"272,31121872,0-20 cm,31121872,1.3,519.9,692,519.9,1.3,Cropland,0.173058659,15000.93023,50.42589951,1.72092998,38.93604007,-3.944315905,0.710713029,34.38850021,15.07929993,31.75,30.5,33,30.58333333,7.599999905,8.75,8.850000381,7.75"
"273,31201866,0-20 cm,31201866,1,302.5,686,302.5,1,Cropland,0.157399269,14978,50.23070145,0.563428998,38.89582987,-3.842380748,0.857044995,34.59550095,15.17940044,32,30.75,33.16666667,30.75,7.699999809,8.899999619,8.949999809,7.849999905"
"274,31201884,0-20 cm,31201884,1.5,429.1,662,429.1,1.5,Grassland,0.151175983,14921.45455,45.81489944,-1.339900017,39.05594885,-3.87630729,1.83901,32.94129944,15.07759953,30.66666667,29.41666667,31.66666667,29.5,7.75,8.949999809,9,7.900000095"
"275,31261846,0-20 cm,31261846,0.8,197.2,719,197.2,0.8,Cropland,0.159340777,14968.48889,43.99639893,-2.661499977,38.72764329,-3.737168522,1.059399962,36.33599854,15.22029972,33.41666667,32.16666667,34.66666667,32.08333333,7.699999809,8.899999619,8.949999809,7.849999905"
"276,31261876,0-20 cm,31261876,1.8,507.3,673,507.3,1.8,Bareland,0.154708671,14954.27273,45.62860107,0.194295004,38.9946174,-3.793156285,0.821651995,33.46549988,15.12440014,30.91666667,29.83333333,32.08333333,29.91666667,7.650000095,8.850000381,8.899999619,7.800000191"
"277,31281842,0-20 cm,31281842,0.9,373.2,731,373.2,0.9,Cropland,0.152954477,14968.91304,45.78310013,-1.288879991,38.69528413,-3.707163942,2.098150015,36.71749878,15.18859959,33.75,32.5,35,32.33333333,7.650000095,8.850000381,9,7.849999905"
"278,31281982,0-20 cm,31281982,0.9,327.2,607,327.2,0.9,Bareland,0.152969504,14905.23256,42.06980133,0.911343992,39.94017058,-3.973137117,1.38654995,31.33009911,15.47920036,29.66666667,28.58333333,30.5,28.75,8.449999809,9.600000381,9.699999809,8.600000381"
"279,31282014,0-20 cm,31282014,0.5,163.1,690,163.1,0.5,Cropland,0.177587841,14925.48837,59.82830048,-1.629500031,40.224309,-4.035941833,1.243530035,31.28490067,14.87549973,29.75,28.83333333,30.66666667,28.83333333,8.100000381,9.25,9.350000381,8.300000191"
"280,31301844,0-20 cm,31301844,0.6,198.5,717,198.5,0.6,Bareland,0.130372003,14951.11111,45.78310013,4.546199799,38.71633215,-3.688270844,0.408327997,36.33140182,15.09500027,33.41666667,32.16666667,34.66666667,32,7.650000095,8.850000381,8.899999619,7.75"
"281,31301872,0-20 cm,31301872,1.1,259,675,259,1.1,Grassland,0.169060239,14901.69565,45.62860107,2.444200039,38.965549,-3.740305444,0.383305013,34.14490128,15.17539978,31.5,30.5,32.75,30.5,7.650000095,8.850000381,8.899999619,7.75"
"282,31321922,0-20 cm,31321922,1.3,133.9,831,133.9,1.3,Cropland,0.154822085,14875.38636,53.40200043,6.669700146,39.4135657,-3.811775948,0.218803003,36.18439865,14.15919971,33.91666667,32.5,35,32.5,7.050000191,8.199999809,8.300000191,7.199999809"
"283,31341952,0-20 cm,31341952,0.4,80.3,821,80.3,0.4,Cropland,0.144599284,15014.23256,43.83369827,-1.650140047,39.68353466,-3.846210262,0.74140197,35.52119827,14.52079964,33.41666667,32.25,34.41666667,32.25,7.349999905,8.5,8.600000381,7.5"
"284,31341974,0-20 cm,31341974,0.8,103.5,557,103.5,0.8,Bareland,0.154939534,14948.5,52.73130035,-1.927729964,39.87902784,-3.888617944,2.804519892,30.09980011,15.75650024,28.41666667,27.58333333,29.41666667,27.58333333,8.699999809,9.850000381,9.949999809,8.899999619"
"285,31361832,0-20 cm,31361832,1.4,233.4,796,233.4,1.4,Cropland,0.163641551,14929.91304,48.25780106,-0.717504978,38.61916905,-3.59844487,1.005869985,37.48820114,14.93540001,34.5,33,35.66666667,33.08333333,7.550000191,8.75,8.850000381,7.650000095"
"286,31361882,0-20 cm,31361882,1.4,509.5,673,509.5,1.4,Cropland,0.181991779,14916.84091,43.87760162,-1.224040031,39.06428248,-3.690896606,0.335047007,33.66699982,15.1012001,31.25,30.25,32.33333333,30.16666667,7.650000095,8.800000191,8.949999809,7.800000191"
"287,31381934,0-20 cm,31381934,1.1,92.7,788,92.7,1.1,Cropland,0.135139426,14977.04545,38.55120087,-0.691684008,39.53007414,-3.766046686,0.121891998,35.8728981,14.62080002,33.5,32.25,34.75,32.25,7.400000095,8.600000381,8.649999619,7.599999905"
"288,31461834,0-20 cm,31461834,1.3,224.8,757,224.8,1.3,Cropland,0.153866414,14967.45652,49.24449921,-1.969449997,38.65301355,-3.489222995,2.654059887,36.01440048,15.07750034,33.16666667,31.91666667,34.33333333,31.91666667,7.550000191,8.75,8.800000191,7.699999809"
"289,31461892,0-20 cm,31461892,1.4,439.8,682,439.8,1.4,Cropland,0.166732505,14969.81395,40.06259918,-1.589640021,39.16943915,-3.595868576,0.424190998,33.36629868,15.21199989,31.08333333,30,32.08333333,30,7.75,8.949999809,9,7.900000095"
"290,31461986,0-20 cm,31461986,0.5,187,666,187,0.5,Cropland,0.152639525,14952.62791,49.84590149,-1.961009979,40.00535348,-3.773751747,1.625309944,33.18050003,15.07759953,31.33333333,30.25,32.33333333,30.41666667,8.100000381,9.25,9.350000381,8.25"
"291,31481970,0-20 cm,31481970,0.5,155.4,584,155.4,0.5,Bareland,0.139036043,15017.88372,53.32210159,2.061490059,39.86642113,-3.720039615,2.246799946,31.84869957,15.40919971,30,28.91666667,31.08333333,29.16666667,8.199999809,9.350000381,9.399999619,8.350000381"
"292,31481998,0-20 cm,31481998,1.1,351.4,649,351.4,1.1,Bareland,0.138413388,14935,50.57949829,-2.336349964,40.11524778,-3.773853498,1.219419956,32.60089874,14.98320007,30.75,30,31.75,30,8,9.149999619,9.199999809,8.149999619"
"293,31501868,0-20 cm,31501868,1,224.4,696,224.4,1,Bareland,0.154906387,14974.7619,43.9178009,2.762190104,38.9622162,-3.506092463,0.114921004,34.11830139,15.17459965,31.58333333,30.66666667,32.75,30.5,7.699999809,8.899999619,8.949999809,7.849999905"
"294,31501930,0-20 cm,31501930,0.9,292.1,765,292.1,0.9,Bareland,0.130970466,14970.6,41.4878006,0.00146365,39.51399052,-3.621286174,0.090853304,35.62960052,14.67380047,33.33333333,32,34.33333333,32.16666667,7.349999905,8.550000191,8.649999619,7.550000191"
"295,31501966,0-20 cm,31501966,0.3,150.6,625,150.6,0.3,Cropland,0.131660814,14996.91111,46.65859985,0.923653007,39.83411753,-3.689425348,1.407799959,31.44560051,15.47939968,29.58333333,28.58333333,30.58333333,28.75,8.25,9.399999619,9.5,8.350000381"
"296,31521848,0-20 cm,31521848,1,329,736,329,1,Cropland,0.136969483,14971.97826,45.49480057,-0.652702987,38.78729068,-3.446876938,0.414348006,35.36059952,15.14579964,32.58333333,31.25,33.83333333,31.41666667,7.550000191,8.75,8.850000381,7.699999809"
"297,31541832,0-20 cm,31541832,0.7,279.4,769,279.4,0.7,Cropland,0.128901984,14994.65217,49.24449921,-0.822866023,38.64792386,-3.395266726,1.081750035,36.24940109,15.06509972,33.41666667,32.08333333,34.5,32.25,7.449999809,8.649999619,8.800000191,7.599999905"
"298,31541858,0-20 cm,31541858,1.2,216,737,216,1.2,Cropland,0.161615631,14914,54.95410156,-1.692420006,38.87954601,-3.442449863,1.529109955,35.12139893,15.13949966,32.5,31.16666667,33.66666667,31.41666667,7.650000095,8.850000381,8.949999809,7.800000191"
"299,31541994,0-20 cm,31541994,1.5,224.5,647,224.5,1.5,Artificial land,0.146822885,14979.29545,50.57949829,0.25424701,40.08949283,-3.696949812,4.035620213,34.59820175,14.93830013,32.66666667,31.66666667,33.66666667,31.83333333,8,9.149999619,9.199999809,8.149999619"
"300,31561848,0-20 cm,31561848,0.8,140.4,768,140.4,0.8,Cropland,0.125004646,14968.6087,45.49480057,-3.075540066,38.79364881,-3.401617121,3.246989965,35.05960083,15.0770998,32.33333333,31,33.5,31.16666667,7.449999809,8.649999619,8.75,7.599999905"
"301,31561974,0-20 cm,31561974,1.2,161.1,755,161.1,1.2,Cropland,0.146364556,14931.06977,48.96910095,-1.134600043,39.91496843,-3.635689834,0.490931988,34.21099854,14.82180023,32.16666667,31.08333333,33.25,31.25,7.650000095,8.850000381,8.949999809,7.800000191"
"302,31561978,0-20 cm,31561978,1,158.8,678,158.8,1,Cropland,0.152606585,14957.54762,51.9673996,-0.545781016,39.95052808,-3.643305639,1.339959979,34.30360031,14.70499992,32.33333333,31.16666667,33.33333333,31.41666667,7.599999905,8.75,8.850000381,7.75"
"303,31601820,0-20 cm,31601820,0.8,210.9,857,210.9,0.8,Cropland,0.146380329,14942.42222,54.39099884,-1.909590006,38.55045956,-3.30598836,0.816614985,37.87870026,14.58290005,34.83333333,33.5,36.08333333,33.41666667,7.199999809,8.399999619,8.449999809,7.25"
"304,31601946,0-20 cm,31601946,1,108.2,757,108.2,1,Cropland,0.140630019,14953.37209,48.53379822,-0.803255022,39.6724217,-3.536858505,0.260163009,33.73139954,14.75249958,31.66666667,30.41666667,32.66666667,30.5,7.5,8.699999809,8.800000191,7.650000095"
"305,31601976,0-20 cm,31601976,0.8,168.7,765,168.7,0.8,Cropland,0.157242772,14893.3913,51.9673996,-2.823899984,39.93921503,-3.593470903,4.73759985,34.56090164,14.60540009,32.41666667,31.41666667,33.58333333,31.58333333,7.5,8.649999619,8.75,7.650000095"
"306,31621872,0-20 cm,31621872,1.7,464.1,707,464.1,1.7,Cropland,0.144343298,14974.35556,44.95019913,1.041180015,39.01694568,-3.377234097,0.128485993,34.19459915,15.14579964,31.75,30.41666667,32.83333333,30.66666667,7.650000095,8.850000381,8.899999619,7.75"
"307,31621930,0-20 cm,31621930,0.9,295,739,295,0.9,Cropland,0.115636129,14987.6,42.50920105,-1.629500031,39.53328026,-3.484051014,1.532879949,34.16429901,14.76640034,32.08333333,30.75,32.91666667,30.83333333,7.5,8.649999619,8.75,7.650000095"
"308,31621954,0-20 cm,31621954,0.9,59.9,752,59.9,0.9,Grassland,0.129774891,14938.86364,48.53379822,-2.667550087,39.74679308,-3.528942644,2.266149998,33.8927002,14.75139999,31.83333333,30.66666667,32.83333333,30.75,7.550000191,8.75,8.800000191,7.75"
"309,31641834,0-20 cm,31641834,1,260.3,789,260.3,1,Cropland,0.135622604,14889.1087,49.99140167,0.718616009,38.68153902,-3.285909093,1.217389941,37.08179855,14.76130009,34.16666667,32.75,35.33333333,33,7.300000191,8.5,8.649999619,7.449999809"
"310,31641924,0-20 cm,31641924,0.9,154.5,762,154.5,0.9,Bareland,0.125113029,15000.08889,42.50920105,-1.825160027,39.48308214,-3.450030392,0.656382978,34.17449951,14.78059959,32.08333333,30.75,33.08333333,30.83333333,7.5,8.699999809,8.75,7.699999809"
"311,31661854,0-20 cm,31661854,0.9,267.3,751,267.3,0.9,Cropland,0.135726422,14962.71739,60.04240036,0.348037004,38.86291494,-3.299243382,0.162523001,36.39989853,14.96560001,33.66666667,32.25,34.83333333,32.41666667,7.400000095,8.600000381,8.699999809,7.550000191"
"312,31661880,0-20 cm,31661880,1.3,247.4,707,247.4,1.3,Bareland,0.197725975,14958.15909,48.53099823,0.348037004,39.0945301,-3.346363601,0,34.13629913,14.93500042,31.66666667,30.5,32.83333333,30.66666667,7.650000095,8.850000381,8.899999619,7.800000191"
"313,31681858,0-20 cm,31681858,0.8,366.6,754,366.6,0.8,Cropland,0.139324929,14953.36957,60.04240036,-1.739159942,38.90170395,-3.28379155,0.78044498,35.86589813,15.04839993,33.16666667,31.91666667,34.33333333,31.91666667,7.5,8.699999809,8.800000191,7.650000095"
"314,31701818,0-20 cm,31701818,1.1,152.8,896,152.8,1.1,Cropland,0.139297599,15008.02273,55.75360107,0.335691005,38.54830791,-3.189642841,0.621508002,38.32099915,14.35719967,35.16666667,33.91666667,36.58333333,34,6.949999809,8.149999619,8.300000191,7.099999905"
"315,31701848,0-20 cm,31701848,0.7,406.8,831,406.8,0.7,Cropland,0.126189382,14985.97826,60.04240036,-0.83239001,38.81573503,-3.243148847,0.181705996,37.35010147,14.69880009,34.58333333,33.16666667,35.66666667,33.25,7.199999809,8.399999619,8.5,7.349999905"
"316,31701880,0-20 cm,31701880,1.2,156.8,702,156.8,1.2,Grassland,0.179973393,14937.51163,48.50059891,0.054143898,39.10084545,-3.300890969,0.114921004,34.38209915,14.95899963,31.91666667,30.75,33.08333333,30.91666667,7.599999905,8.800000191,8.949999809,7.75"
"317,31721966,0-20 cm,31721966,1.7,561.1,773,561.1,1.7,Cropland,0.142081768,14943.6,54.96929932,-1.757290006,39.86953708,-3.436585446,0.958832979,35.01979828,14.42739964,32.75,31.75,33.91666667,31.83333333,7.349999905,8.5,8.600000381,7.5"
"318,31721984,0-20 cm,31721984,0.6,121.2,622,121.2,0.6,Cropland,0.149506028,14955.4186,52.74380112,-2.689870119,40.02963242,-3.470407064,1.498600006,34.03979874,14.76589966,32.08333333,31,33.08333333,31.25,7.75,8.899999619,9,7.949999809"
"319,31821942,0-20 cm,31821942,1.2,403.4,740,403.4,1.2,Cropland,0.141872666,14969.86667,47.9776001,0.113035001,39.67182736,-3.277204765,0.081261598,35.6427002,14.64710045,33.5,32.08333333,34.5,32.25,7.449999809,8.600000381,8.75,7.599999905"
"320,31841890,0-20 cm,31841890,1.5,228.2,708,228.2,1.5,Bareland,0.176739391,14891.91111,41.84960175,1.152760029,39.21188199,-3.159659083,0.090853304,35.14099884,15.00319958,32.66666667,31.33333333,33.83333333,31.58333333,7.599999905,8.800000191,8.899999619,7.75"
"321,31862056,0-20 cm,31862056,1.5,353.7,847,353.7,1.5,Grassland,0.177572618,14827.53333,53.13570023,-2.925359964,40.69207889,-3.445087869,2.068089962,34.15029907,13.10459995,32.08333333,31.16666667,33.16666667,31.25,6.599999905,7.75,7.849999905,6.75"
"322,31881872,0-20 cm,31881872,1.3,147.4,765,147.4,1.3,Grassland,0.136912844,14966.91111,46.66289902,-1.415140033,39.05770131,-3.081881336,0.691884995,35.95949936,14.96399975,33.41666667,32.08333333,34.66666667,32.16666667,7.599999905,8.800000191,8.850000381,7.699999809"
"323,31881902,0-20 cm,31881902,0.6,281.2,690,281.2,0.6,Cropland,0.170031851,14921.73333,40.40430069,-0.476292014,39.32502501,-3.135690624,0.167524993,34.93230057,15.05090046,32.5,31.08333333,33.66666667,31.25,7.699999809,8.899999619,9,7.849999905"
"324,31881938,0-20 cm,31881938,1.3,197.4,729,197.4,1.3,Bareland,0.135005557,14975.15217,44.99280167,0.394582003,39.64564349,-3.201074281,0.424190998,35.15840149,14.70170021,32.91666667,31.66666667,34,31.91666667,7.550000191,8.699999809,8.800000191,7.699999809"
"325,31881944,0-20 cm,31881944,1.5,506.2,769,506.2,1.5,Cropland,0.138598346,14965.13333,48.43439865,-1.813369989,39.69906196,-3.212058783,0.565904021,36.18420029,14.61369991,33.83333333,32.58333333,34.91666667,32.66666667,7.449999809,8.649999619,8.699999809,7.599999905"
"326,31901900,0-20 cm,31901900,1.8,447.1,684,447.1,1.8,Bareland,0.183058453,14940.47727,40.40430069,1.947370052,39.31031885,-3.10926917,0.181705996,35.08319855,15.0472002,32.58333333,31.16666667,33.83333333,31.41666667,7.75,8.899999619,9,7.900000095"
"327,31921834,0-20 cm,31921834,0.7,477,932,477,0.7,Cropland,0.124018434,14979.20455,68.68360138,-2.522500038,38.72505857,-2.969346098,1.991350055,38.53170013,14.17959976,35.66666667,34.41666667,37.16666667,34.5,6.75,7.949999809,8.050000191,6.900000095"
"328,31921978,0-20 cm,31921978,2.5,381.9,732,381.9,2.5,Cropland,0.142610939,14968.02381,55.0544014,-1.273259997,40.00796553,-3.22867977,1.06329,35.67670059,14.43299961,33.33333333,32.41666667,34.41666667,32.58333333,7.349999905,8.550000191,8.649999619,7.5"
"329,31961820,0-20 cm,31961820,2.2,630.1,985,630.1,2.2,Cropland,0.135116756,14935.35556,64.32289886,-1.849189997,38.60629168,-2.899705852,1.291049957,38.84740067,14.01329994,36.08333333,34.66666667,37.5,34.83333333,6.550000191,7.75,7.900000095,6.699999809"
"330,31982044,0-20 cm,31982044,1.3,389.2,761,389.2,1.3,Cropland,0.187061248,14864.83721,49.90110016,-1.362460017,40.60448825,-3.282605492,0.689495027,35.91989899,13.61130047,33.41666667,32.75,34.5,32.75,7,8.149999619,8.25,7.099999905"
"331,32001860,0-20 cm,32001860,1.4,316.3,930,316.3,1.4,Bareland,0.144726219,14880.3913,58.3465004,-2.030689955,38.96920696,-2.924316035,1.696779966,37.57180023,14.0927,35,33.66666667,36.25,33.83333333,6.75,7.949999809,8,6.900000095"
"332,32001982,0-20 cm,32001982,1.1,139.6,719,139.6,1.1,Bareland,0.143713732,14962.52381,49.94720078,-1.94749999,40.05609335,-3.143812936,2.068480015,35.06969833,14.46409988,33,31.91666667,34.08333333,32,7.400000095,8.550000191,8.649999619,7.550000191"
"333,32021980,0-20 cm,32021980,1.2,198.5,757,198.5,1.2,Woodland,0.141566506,14920.41304,49.94720078,-2.143769979,40.04141125,-3.117064185,2.45423007,37.61959839,13.92210007,35.08333333,34.08333333,36.41666667,34.33333333,7,8.149999619,8.25,7.150000095"
"334,32022010,0-20 cm,32022010,0.8,230.5,849,230.5,0.8,Cropland,0.162611763,14779.42222,61.05189896,1.765480042,40.30838135,-3.172486677,0.383305013,36.88470078,13.76980019,34.41666667,33.5,35.58333333,33.75,7,8.149999619,8.25,7.150000095"
"335,32041948,0-20 cm,32041948,1.4,171.4,807,171.4,1.4,Cropland,0.143814872,14958.22727,50.89479828,1.891100049,39.75960206,-3.035671981,0.363407999,37.81710052,14.20149994,35.16666667,34.25,36.5,34.33333333,7.199999809,8.399999619,8.449999809,7.349999905"
"336,32041972,0-20 cm,32041972,0.7,219.5,846,219.5,0.7,Cropland,0.124250984,14938.86667,53.31819916,-0.100006998,39.97330741,-3.079347029,0.414348006,38.50120163,13.78969955,35.91666667,34.83333333,37.16666667,35.16666667,6.900000095,8.050000191,8.199999809,7.050000191"
"337,32042008,0-20 cm,32042008,1.3,272.7,825,272.7,1.3,Bareland,0.156201064,14823.77273,61.05189896,-2.887830019,40.29371474,-3.14561631,2.741919994,38.19929886,13.44439983,35.66666667,34.83333333,36.83333333,34.91666667,6.75,7.949999809,8.050000191,6.900000095"
"338,32042056,0-20 cm,32042056,0.9,145.9,865,145.9,0.9,Bareland,0.188974387,14765.6,58.24160004,-3.760469913,40.72064517,-3.235414303,3.752049923,33.53099823,13.07989979,31.33333333,30.5,32.33333333,30.58333333,6.599999905,7.699999809,7.800000191,6.75"
"339,32062010,0-20 cm,32062010,1.3,229.2,855,229.2,1.3,Cropland,0.171643565,14845.36364,64.57250214,0.0329003,40.31463293,-3.126161026,1.211949944,38.19929886,13.44439983,35.66666667,34.83333333,36.83333333,34.91666667,6.75,7.949999809,8.050000191,6.900000095"
"340,32062016,0-20 cm,32062016,1.2,268.1,688,268.1,1.2,Cropland,0.187656233,14793.34884,64.57250214,7.985099792,40.36801803,-3.137285173,2.081190109,36.69589996,13.66300011,34.25,33.41666667,35.41666667,33.58333333,6.900000095,8.050000191,8.149999619,7.050000191"
"341,32062034,0-20 cm,32062034,1.6,374.3,961,374.3,1.6,Grassland,0.167491571,14801.64444,61.05220032,-0.58011198,40.52814348,-3.170812175,0.385452002,36.09640121,12.64939976,33.66666667,32.75,34.66666667,32.91666667,6.099999905,7.199999809,7.300000191,6.25"
"342,32102006,0-20 cm,32102006,1.3,337,838,337,1.3,Cropland,0.15398411,14888.40909,64.73429871,-2.638099909,40.28526583,-3.072450324,1.794540048,37.8791008,13.72319984,35.41666667,34.58333333,36.58333333,34.66666667,7.050000191,8.199999809,8.300000191,7.199999809"
"343,32102010,0-20 cm,32102010,1.5,526.8,850,526.8,1.5,Cropland,0.14915571,14880.43182,58.9958992,0.045333099,40.3208627,-3.079827434,0.670071006,38.14789963,13.49680042,35.66666667,34.75,36.75,34.91666667,6.849999905,8,8.100000381,7"
"344,32142022,0-20 cm,32142022,1.3,266.6,913,266.6,1.3,Cropland,0.165354031,14818.725,61.5890007,0.199015006,40.43386015,-3.055610963,0.935308993,37.53089905,13.06529999,35.08333333,34.08333333,36.16666667,34.33333333,6.5,7.650000095,7.75,6.599999905"
"345,32161828,0-20 cm,32161828,2.4,248.4,1068,248.4,2.4,Shrubland,0.1427782,14913.51163,70.48770142,-2.105340004,38.70797986,-2.687430224,1.081750035,38.75930023,13.67450047,36.5,35.08333333,37.83333333,35.08333333,6.25,7.449999809,7.599999905,6.400000095"
"346,32161876,0-20 cm,32161876,1.5,209.1,817,209.1,1.5,Grassland,0.141060944,14974.93182,41.49959946,-0.822866023,39.13626085,-2.770432894,0.247145995,36.67359924,14.67809963,34.25,32.66666667,35.33333333,32.91666667,7.300000191,8.5,8.600000381,7.400000095"
"347,32181892,0-20 cm,32181892,0.6,270.5,740,270.5,0.6,Cropland,0.126292261,14923.08696,45.06930161,0.00146365,39.28198116,-2.775618975,0.090853304,36.08739853,14.90219975,33.58333333,32.08333333,34.58333333,32.33333333,7.550000191,8.75,8.850000381,7.699999809"
"348,32181928,0-20 cm,32181928,0.9,245.2,836,245.2,0.9,Cropland,0.160346653,14879.41304,63.4219017,-2.454960108,39.6029146,-2.839143791,3.140429974,38.46820068,14.05949974,35.75,34.58333333,37.16666667,34.83333333,7.150000095,8.300000191,8.399999619,7.300000191"
"349,32221796,0-20 cm,32221796,0.9,141.7,926,141.7,0.9,Cropland,0.226429828,14709.23913,68.74700165,-4.285679817,38.43122278,-2.565305746,11.76920033,37.93500137,13.22929955,35.33333333,34.08333333,36.91666667,34.41666667,6.150000095,7.349999905,7.5,6.25"
"350,32222008,0-20 cm,32222008,1,235.4,732,235.4,1,Cropland,0.149832787,14890.79545,55.52730179,-1.572759986,40.32161688,-2.937126474,0.634648025,36.52610016,14.23219967,34.25,33.33333333,35.33333333,33.5,7.5,8.649999619,8.800000191,7.650000095"
"351,32241758,0-20 cm,32241758,5.4,579.2,1554,579.2,5.4,Shrubland,0.163618405,14652.88889,88.45300293,0.362118006,38.09466099,-2.479311002,5.069650173,47.59069824,10.49170017,44.41666667,42.66666667,46.25,43.08333333,3.200000048,4.449999809,4.550000191,3.349999905"
"352,32241830,0-20 cm,32241830,1,408.6,1068,408.6,1,Bareland,0.142431376,14880.34091,65.99130249,4.404160023,38.73781199,-2.600307456,0.513930023,39.46350098,13.43929958,37.16666667,35.66666667,38.5,35.83333333,6,7.199999809,7.300000191,6.099999905"
"353,32241866,0-20 cm,32241866,1.4,221.9,984,221.9,1.4,Bareland,0.119555623,14845.52273,55.30670166,-2.453959942,39.05911081,-2.662043614,3.430340052,38.59230042,13.8803997,36.16666667,34.66666667,37.25,34.91666667,6.550000191,7.75,7.849999905,6.699999809"
"354,32241956,0-20 cm,32241956,1.1,154.7,886,154.7,1.1,Cropland,0.179189905,14847.95556,57.08800125,-1.858739972,39.86156249,-2.820116029,4.856579781,38.96609879,13.66009998,36.25,35.16666667,37.66666667,35.41666667,6.949999809,8.100000381,8.199999809,7.099999905"
"355,32242034,0-20 cm,32242034,1.3,245.8,1018,245.8,1.3,Cropland,0.163117747,14763.37778,62.00239944,-1.692420006,40.55611466,-2.961576411,0.689495027,37.55770111,12.85770035,35.25,34.25,36.33333333,34.5,6.349999905,7.5,7.650000095,6.550000191"
"356,32242052,0-20 cm,32242052,3.3,493.5,1033,493.5,3.3,Bareland,0.191291127,14724.77778,70.29989624,-1.797189951,40.71627797,-2.994828788,0.801312983,37.39260101,11.92609978,34.91666667,34.08333333,36.08333333,34.08333333,5.650000095,6.75,6.900000095,5.800000191"
"357,32261904,0-20 cm,32261904,1.2,352.5,740,352.5,1.2,Cropland,0.148270523,14888.67391,51.4510994,-1.707399964,39.40107833,-2.705266321,0.406302005,36.04750061,14.79310036,33.58333333,32.25,34.83333333,32.41666667,7.599999905,8.800000191,8.850000381,7.699999809"
"358,32262002,0-20 cm,32262002,1.2,96,807,96,1.2,Woodland,0.164978079,14730.37778,50.83599854,-3.571340084,40.27433552,-2.87986946,8.414580345,37.3628006,13.66489983,35.08333333,34.16666667,36.25,34.33333333,7,8.149999619,8.25,7.099999905"
"359,32262026,0-20 cm,32262026,1.4,473.5,1019,473.5,1.4,Cropland,0.162750831,14740.53488,72.68409729,-1.169440031,40.48799333,-2.923638243,0.327573001,39.05810165,12.52439976,36.75,35.75,37.83333333,35.83333333,6.099999905,7.300000191,7.400000095,6.300000191"
"360,32281834,0-20 cm,32281834,1.3,294.8,1055,294.8,1.3,Bareland,0.14069959,14927.93023,65.99130249,-0.426925004,38.77948301,-2.561816194,0.642403007,39.62889862,13.33349991,37.25,35.83333333,38.75,36.08333333,5.800000191,7,7.099999905,5.900000095"
"361,32282042,0-20 cm,32282042,2.2,350.3,1031,350.3,2.2,Cropland,0.188063163,14694.65909,68.28289795,-4.563970089,40.6334674,-2.929757734,7.763929844,37.36780167,12.62720013,35.08333333,34.08333333,36.08333333,34.41666667,6.25,7.349999905,7.550000191,6.400000095"
"362,32301854,0-20 cm,32301854,1.6,508.9,1079,508.9,1.6,Cropland,0.127788462,14893.95238,61.48939896,-2.074929953,38.9609947,-2.573229111,1.205809951,40.24060059,13.32089996,37.75,36.33333333,39.08333333,36.5,6,7.199999809,7.300000191,6.099999905"
